Pid,phenotype_name,description,synonyms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011085,Hypomature dental enamel,"A form of hypomineralization of enamel characterized by a chalky appearance of the enamel with orange, brown, or white color.",Immature tooth enamel;Soft teeth;Soft tooth enamel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011084,Hypocalcification of dental enamel,A form of hypomineralization of enamel characterized by reduced calcification.,Decreased enamel calcification;Poorly calcified tooth enamel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011083,Conical maxillary incisor,An abnormal conical morphology of either maxillary primary incisor tooth or maxillary permanent incisor tooth or both.,Cone shaped maxillary incisor;Cone shaped upper front tooth;Conoid maxillary incisor;Peg shaped upper front tooth;Pointed maxillary incisor;Pointed upper front tooth;Upper front shark tooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011082,Conical primary incisor,An abnormal conical morphology of the primary incisor.,Cone shaped front baby tooth;Conical deciduous incisor;Conoid primary incisor;Peg shaped front baby tooth;Peg shaped primary incisor;Pointed front baby tooth;Pointed primary incisor;Primary front shark tooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011081,Incisor macrodontia,Increased size of the incisor tooth.,Hyperplasia of incisor;Hypertrophy of incisor;Increased size of incisor;Increased width of incisor;Large incisor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011080,Abnormal premolar morphology,An abnormality of morphology of premolar tooth.,Abnormality of bicuspid morphology;Abnormality of premolar morphology;Abnormality of shape of bicuspid;Abnormality of shape of premolar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011079,Impacted tooth,A tooth that has not erupted because of local impediments (overcrowding or fibrous gum overgrowth).,Buried tooth;Impacted tooth;Retained tooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011078,Abnormality of canine,An abnormality of canine tooth.,Abnormality of canine;Abnormality of eye tooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011077,Abnormality of molar,An abnormality of molar tooth.,Abnormality of molar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011076,Abnormality of premolar,An abnormality of premolar tooth.,Abnormality of bicuspid;Abnormality of premolar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011075,Green teeth,A green staining of teeth.,Green colored teeth;Green coloured teeth;Green teeth;Green tooth shade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011074,Localized hypoplasia of dental enamel,A localized form of developmental hypoplasia of the dental enamel.,Localised dysplasia of tooth enamel;Localised hypoplasia of dental enamel;Localised hypoplasia of tooth enamel;Localized dysplasia of tooth enamel;Localized hypoplasia of tooth enamel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011073,Abnormality of dental color,A developmental defect of tooth color.,Abnormality of dental color;Abnormality of dental colour;Abnormality of dental shade;Abnormality of tooth color;Abnormality of tooth colour;Abnormality of tooth shade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011072,Rootless teeth,None,Absence of tooth root;Agenesis of tooth root;Aplasia of tooth root;Missing tooth root;Rootless teeth;Teeth without roots;Tooth with dentin dysplasia type i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011071,Abnormal permanent molar morphology,An abnormality of morphology of permanent molar.,Abnormality of permanent molar morphology;Abnormality of shape of adult molar;Abnormality of shape of permanent molar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011070,Abnormal molar morphology,An abnormality of morphology of molar tooth.,Abnormal shape of molar tooth;Abnormality of molar morphology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011069,Supernumerary tooth,The presence of one or more teeth additional to the normal number.,"Extra teeth;Hyperdontia;Increased number of teeth;Increased tooth count;More teeth than normal;Supernumary dentition;Supernumary teeth;Supernumerary teeth;Supplemental dentition;Supplemental teeth;Tooth, supernumerary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011068,Odontoma,The presence of an odontoma.,Odontomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011067,Mesiodens,A supernumerary tooth in the midline between the maxillary central incisors.,Extra tooth;Extra tooth in the midline;Median supernumary tooth;Mesiodentes;Midline supernumary tooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011065,Conical incisor,An abnormal conical morphology of the incisor tooth.,Cone shaped front tooth;Conoid incisor;Peg shaped front tooth;Peg shaped incisors;Peg-shaped incisors;Pointed front tooth;Pointed incisor;Shark tooth incisor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011064,Abnormal number of incisors,The presence of an altered number of the incisor teeth.,Abnormal number of front teeth;Abnormal number of incisors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011063,Abnormal incisor morphology,An abnormality of morphology of the incisor tooth.,Abnormality of incisor morphology;Abnormality of shape of incisor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011062,Misalignment of incisors,Misaligned incisor.,Abnormality of alignment of incisors;Abnormality of position of incisors;Crooked front teeth;Crooked incisors;Malposition of incisors;Misalignment of incisors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011061,Abnormality of dental structure,An abnormality of the structure or composition of the teeth.,Abnormality of tooth part;Abnormality of tooth structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011060,Dentinogenesis imperfecta limited to primary teeth,Developmental dysplasia of dentin affecting only the primary dentition.,Dentinogenesis imperfecta of baby teeth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011059,Localized periodontitis,A localized form of periodontitis.,Limited area of gum disease;Localised gum disease;Localised periodontal disease;Localised periodontitis;Localized gum disease;Localized periodontal disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011058,Generalized periodontitis,A generalized form of periodontitis.,Generalised gum disease;Generalised periodontal disease;Generalised periodontitis;Generalized gum disease;Generalized periodontal disease;Widespread gum disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011057,Agenesis of second permanent molar,Agenesis of either mandibular second permanent molar or maxillary second permanent molar.,Absence of second permanent molar;Absence of twelve year molar;Agenesis of twelve year molar;Failure of development of second permanent molar;Failure of development of twelve year molar;Missing second permanent molar;Missing twelve year molar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011056,Agenesis of first permanent molar tooth,Agenesis of either maxillary first permanent molar or mandibular first permanent molar or both.,Absence of first permanent molar;Absence of six year molar;Agenesis of six year molar;Failure of development of first permanent molar;Failure of development of six year molar;Missing first permanent molar;Missing six year molar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011055,Agenesis of permanent molar,Agenesis of secondary molar tooth.,Absence of adult molar;Absence of permanent molar;Agenesis of secondary molar;Failure of development of permanent molar;Failure of development of secondary molar;Missing adult molar;Missing permanent molar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011054,Agenesis of molar,Agenesis of molar tooth.,Absence of molar;Absent molars;Failure of development of molar;Missing molar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011053,Agenesis of mandibular premolar,Agenesis of mandibular premolar.,Absence of lower premolar;Absence of mandibular premolar;Failure of development of mandibular premolar;Missing lower premolar;Missing mandibular premolar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011052,Agenesis of maxillary premolar,Agenesis of maxillary premolar.,Absence of maxillary bicuspid;Absence of maxillary premolar;Absence of upper premolar;Agenesis of maxillary bicuspid;Failure of development of maxillary bicuspid;Failure of development of maxillary premolar;Missing maxillary premolar;Missing upper bicuspid;Missing upper premolar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011051,Agenesis of premolar,Agenesis of premolar tooth.,Absence of bicuspid;Absence of premolar;Agenesis of bicuspid;Failure of development of bicuspid;Failure of development of premolar;Missing bicuspid;Missing premolar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011050,Agenesis of permanent maxillary lateral incisor,Agenesis of one or more upper lateral secondary incisor.,Absence of permanent maxillary lateral incisor;Agenesis of permanent upper lateral incisor;Failure of development of permanent maxillary lateral incisor;Failure of development of permanent upper lateral incisor;Missing permanent maxillary lateral incisor;Missing permanent upper lateral incisor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011049,Agenesis of primary maxillary lateral incisor,"Agenesis of one or more maxillary lateral incisor, comprising the maxillary lateral primary incisor.",Absence of deciduous maxillary lateral incisor;Absence of primary maxillary lateral incisor;Agenesis of deciduous maxillary lateral incisor;Failure of development of deciduous maxillary lateral incisor;Failure of development of primary maxillary lateral incisor;Missing deciduous maxillary lateral incisor;Missing primary maxillary lateral incisor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011048,Agenesis of permanent mandibular central incisor,Agenesis of lower secondary incisor.,Absence of permanent lower central incisor;Absence of permanent lower front tooth;Absence of permanent mandibular central incisor;Agenesis of adult mandibular central incisor;Failure of development of permanent mandibular central incisor;Missing adult lower central incisor;Missing permanent lower central incisor;Missing permanent lower front tooth;Missing permanent mandibular central incisor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011047,Agenesis of primary mandibular central incisor,Agenesis of lower primary incisor.,Absence of deciduous mandibular central incisor;Absence of primary mandibular central incisor;Agenesis of deciduous lower central incisor;Agenesis of primary lower central incisor;Failure of development of deciduous mandibular central incisor;Failure of development of primary mandibular central incisor;Missing deciduous mandibular central incisor;Missing lower central incisor milk tooth;Missing lower front baby tooth;Missing lower front milk tooth;Missing lower front primary tooth;Missing primary mandibular central incisor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011046,Agenesis of primary maxillary central incisor,Agenesis of upper central primary incisor.,Absence of deciduous maxillary central incisor;Absence of primary maxillary central incisor;Absence of upper front baby tooth;Agenesis of deciduous maxillary central incisor;Failure of development of deciduous maxillary central incisor;Failure of development of primary maxillary central incisor;Missing deciduous maxillary central incisor;Missing primary maxillary central incisor;Missing upper front baby tooth;Missing upper front milk tooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011045,Agenesis of permanent maxillary central incisor,Agenesis of upper secondary incisor.,Absence of permanent maxillary central incisor;Absence of permanent upper central incisor;Absence of permanent upper front tooth;Agenesis of adult maxillary central incisor;Failure of development of permanent maxillary central incisor;Missing adult upper central incisor;Missing permanent maxillary central incisor;Missing permanent upper central incisor;Missing permanent upper front tooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011044,Abnormal number of permanent teeth,The presence of an altered number of of permanent teeth.,Abnormal complement of permanent teeth;Abnormal number of adult teeth;Abnormal number of permanent teeth;Abnormal number of secondary dentition;Abnormal permanent tooth count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011039,Abnormal helix morphology,An abnormality of the helix. The helix is the outer rim of the ear that extends from the insertion of the ear on the scalp (root) to the termination of the cartilage at the earlobe.,Abnormal helices;Abnormality of the helix;Helix abnormal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0011003,High myopia,A severe form of myopia with greater than -6.00 diopters.,Severe myopia;Severe myopia (> -6.00 diopters);Severe near sightedness;Severely close sighted;Severely near sighted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010941,Aplasia of the nasal bone,Absence of the nasal bone.,Absence of the nasal bone;Agenesis of the nasal bone;Failure of development of the nasal bone;Lack of development of the nasal bone;Missing nasal bone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010940,Aplasia/Hypoplasia of the nasal bone,Absence or underdevelopment of the nasal bone.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010939,Abnormal nasal bone morphology,"An abnormality of the nasal bone, comprising the left nasal bone and the right nasal bone.",Abnormality of the nasal bone;Anomaly of the nasal bones;Deformity of the nasal bones;Malformation of the nasal bones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010938,Abnormal external nose morphology,An abnormality of the external nose.,Abnormality of the external nose;Anomaly of the external nose;Deformity of the external nose;Malformation of the external nose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010937,Abnormal nasal skeleton morphology,An abnormality of the nasal skeleton.,Abnormality of the nasal skeleton;Anomaly of the nasal skeleton;Deformity of the bones of the nose;Deformity of the nasal skeleton;Distortion of the bones of the nose;Distortion of the nasal skeleton;Malformation of the bones of the nose;Malformation of the nasal skeleton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010926,Aculeiform cataract,"A kind of nuclear cataract characterized by fiberglasslike or needlelike crystals projecting in different directions, through or close to the axial region of the lens.",Fasciculiform cataract;Frosted cataract;Needle-shaped cataract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010925,Nuclear punctate cataract,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010924,Posterior cortical cataract,A cataract that affects the posterior part of the cortex of the lens.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010923,Anterior subcapsular cataract,A type of cataract affecting the anterior pole of lens immediately adjacent to ('beneath') the lens capsule.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010922,Membranous cataract,"A form of cataract in which the lens substance has shrunk, leaving a collapsed, flattened capsule with little or no cortex or epithelium on the lens.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010921,Coralliform cataract,"A 'coral-like' pattern of opacity in the lens of the eye. That is, a cataract with an irregular, stellate form.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010920,Zonular cataract,Zonular cataracts are defined to be cataracts that affect specific regions of the lens.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010877,Monocular strabismus,"A type of strabismus in which the fixating eye is always the same one, while the other eye is constantly deviated. Monocular strabismus is to be distinguished from alternating strabismus, in which either of the eyes 'squints' at different times.",Unilateral strabismus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010822,Scintillating scotoma,"A scintillating scotoma is a common visual aura that can preced a migraine, whereby a spot of flickering light near the center of the visual fields occurs. The spot prevents vision, and is thus termed scotoma. The scotoma can extend into one or more shimmering arcs of white or colored flashing lights.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010812,Short uvula,Decreased length of the uvula.,Blunt uvula;Hypoplastic uvula;Short palatine uvula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010811,Narrow uvula,Decreased width of the uvula.,Narrow palatine uvula;Thin uvula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010810,Long uvula,Increased length of the uvula.,Elongated uvula;Hyperplasia of uvula;Long palatine uvula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010809,Broad uvula,Increased width of the uvula (subjective finding).,Wide uvula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010808,Protruding tongue,Tongue extending beyond the alveolar ridges or teeth at rest.,Lingual prolapse;Lingual prominence;Lingual protrusion;Prolapse of tongue;Prominent tongue;Protruding tongue;Tongue protrusion;Tongue sticking out of mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010807,Open bite,Visible space between the dental arches in occlusion.,"""Absence of overlap of upper and lower teeth"";Open bite;""Open bite between upper and lower teeth""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010806,U-Shaped upper lip vermilion,Gentle upward curve of the upper lip vermilion such that the center is placed well superior to the commissures.,"Carp-like mouth;Carp-shaped mouth;Fish mouth;Large, carp-shaped mouth;Wide, carp-shaped mouth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010805,Upturned corners of mouth,Oral commissures positioned superior to the midline labial fissure.,Upturned corners of mouth;Upturned mouth;Upturned oral commisures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010804,Tented upper lip vermilion,Triangular appearance of the oral aperture with the apex in the midpoint of the upper vermilion and the lower vermilion forming the base.,Inverted V-shaped upper lip;Tented mouth;Tented upper lip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010803,Everted upper lip vermilion,"Inner aspect of the upper lip vermilion (normally apposing the teeth) visible in a frontal view, i.e., the presence of an everted upper lip.",Drooping upper lip;Eclabium of upper lip;Everted prominent upper lip;Everted upper lip;Outward turned upper lip;Protruding upper lip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010801,Underdeveloped nasolabial fold,"Reduced bulkiness of the crease or fold of skin running from the lateral margin of the nose, where nasal base meets the skin of the face, to a point just lateral to the corner of the mouth (cheilion or commissure).","Flat nasolabial fold;Nasolabial crease, hypoplastic;Nasolabial crease, underdeveloped;Nasolabial fold, hypoplastic;Shallow nasolabial fold",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010800,Absent cupid's bow,Lack of paramedian peaks and median notch of the upper lip vermilion.,Absent cupid's bow;Agenesis of cupid's bow;Aplasia of cupid's bow;Failure of development of cupid's bow;Lack of cupid's bow;Missing cupid's bow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010798,Lip freckle,Increased focal pigmentation of the vermilion of the lips.,Ephelis of lip;Labial lentigo;Lip freckle;Lip lentigo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010783,Erythema,"Redness of the skin, caused by hyperemia of the capillaries in the lower layers of the skin.","""Redness of skin or mucous membrane""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010764,Short eyelashes,Decreased length of the eyelashes (subjective).,Decreased length of eyelashes;Short eyelashes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010763,Low insertion of columella,Insertion of the posterior columella below the nasal base.,"Ala higher than columella;Columella, low insertion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010761,Broad columella,Increased width of the columella.,"Columella, broad;Columella, wide;Fullness of columella;Hyperplasia of columella;Increased width of columella",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010759,Prominence of the premaxilla,"Prominent positioning of the premaxilla in relation to the rest of the maxilla, the facial skeleton, or mandible. Not necessarily caused by an increase in size (hypertrophy of) the premaxilla.",Anterior position of the premaxilla;Anterior position of the primary palate bone;Premaxillary bone excess;Prominence of the intermaxillary bone;Prominence of the primary palate bone;Prominent premaxilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010758,Abnormality of the premaxilla,"An abnormality of the premaxilla, the most anterior part of the maxilla that usually bears the central and lateral incisors and includes the anterior nasal spine and inferior aspect of the piriform rim. The premaxilla contains the bone and teeth of the primary palate.",Abnormality of the intermaxillary bone;Abnormality of the intermaxillary segment of the maxilla;Abnormality of the premaxillary bone;Abnormality of the primary palate bone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010757,Aplasia of the premaxilla,"Absence of the premaxilla, which is the embryonic structure that forms the anterior part of the maxilla.",Absence of the intermaxillary bone;Absence of the premaxilla;Absence of the primary palate bone;Aplasia of the intermaxillary bone;Aplasia of the primary palate bone;Failure of development of premaxilla;Failure of development of the primary palate bone;Missing premaxilla;Missing primary palate bone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010756,Aplasia/Hypoplasia of the premaxilla,Absence or underdevelopment of the premaxilla.,Aplasia/hypoplasia of the intermaxillary bone;Aplasia/hypoplasia of the primary palate bone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010755,Asymmetry of the maxilla,Asymmetry between the left and right sides of the maxilla.,"""Asymmetry of right and left side of the maxilla"";Asymmetry of the upper jaw;Asymmetry of upper jaw;Canted maxilla;Canted upper jaw;Crooked maxilla;Crooked upper jaw;Deviation of the maxilla;Deviation of the upper jaw;Tilted maxilla;Tilted upper jaw;Unequal sides of maxilla;Uneven maxilla;Uneven upper jaw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010754,Abnormality of the temporomandibular joint,An anomaly of the temporomandibular joint.,Abnormality of the jaw joint;Anomaly of the temporomandibular joint;Deformity of the jaw joint;Deformity of the temporomandibular joint;Derangement of the temporomandibular joint;Malformation of jaw joint;Malformation of the temporomandibular joint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010753,Midline defect of mandible,None,Midline cleft of mandible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010752,Cleft mandible,Midline deficiency of the mandible and some or all overlying tissues.,Cleft lower jaw;Mandibular cleft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010751,Dimple chin,A persistent midline depression of the skin over the fat pad of the chin.,Chin butt;Chin dent;Chin dimple;Chin dimples;Chin skin dimple;Dimple chin;Gelasin of chin;Indentation of chin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010750,Dermatochalasis,Loss of elasticity of the upper and lower eyelids causing the skin to sag and bulge.,Baggy eyes;Droopy eyelid skin;Extra eyelid skin;Eyelid dermatochalasia;Hooding of eyelids;Redundant eyelid skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010749,Blepharochalasis,"Blepharochalasis is characterized by recurrent, non-painful, nonerythematous episodes of eyelid edema. It has been divided into hypertrophic and atrophic forms. In the hypertrophic form recurrent edema results in orbital fat herniation through a weakened orbital septum. Most patients who have blepharochalasis present in an atrophic condition with atrophy of redundant eyelid skin and superior nasal fat pads.",Saggy upper eyelid skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010748,Ectopic lacrimal punctum,Positioning of a lacrimal punctum other than at the medial margins of the eyelid.,Abnormal position of the lacrimal punctum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010747,Medial flaring of the eyebrow,An abnormal distribution of eyebrow hair growth in the medial direction.,Medially flared eyebrows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010732,Nodular changes affecting the eyelids,"Nodular changes affecting the eyelids may have many different causes such as cystic lesions (chalaziae, hordeolae), lipogranulomas, melanomas, infectious diseases (Molluscum contagiosum) and many more.",Eyelid nodules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010731,Extension of eyebrows towards upper eyelid,The eyebrows extend towards - or even all the way down to - the margin of the upper eyelid.,Extension of eyebrows towards upper eyelid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010730,Double eyebrow,This may present as a partial or complete duplication of the eyebrows.,Double eyebrow;Duplication of eyebrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010729,Cherry red spot of the macula,Pallor of the perifoveal macula of the retina with appearance of a small circular reddish choroid shape as seen through the fovea centralis due to relative transparancy of the macula.,Macular cherry red spot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010728,Aplasia of the retina,A developmental defect characterized by absence of the retina.,Absent retina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010727,Spontaneous rupture of the globe,Rupture of the eyeball not due to trauma.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010726,Prominent corneal nerve fibers,Abnormal prominence of the corneal nerve fibers.,Prominent corneal nerve fibres;Visible corneal nerve fibers;Visible corneal nerve fibres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010723,Cystic lesions of the pinnae,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010722,Asymmetry of the ears,"An asymmetriy, i.e., difference in size, shape or position between the left and right ear.",Asymmetric ears,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010699,Triangular nuclear cataract,A nuclear cataract with a triangular form.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010698,Nuclear pulverulent cataract,A type of nuclear cataract involving congenital dust-like (pulverulent) opacity of the embryonal and fetal nucleus.,cataracta pulverulenta centralis;Central pulverulent cataract;Coppock-like cataract;Pulverulent nuclear cataract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010697,Anterior pyramidal cataract,A type of anterior polar cataract which projects as a conical opacity into the anterior chamber.,Pyramidal cataract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010696,Polar cataract,A type of Congenital cataract in which the opacities occupy the subcapsular cortex at the anterior or posterior pole of the lens.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010695,Sutural cataract,A type of congenital cataract in which the opacity follows the anterior or posterior Y suture.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010694,Lamellar pulverulent cataract,"A Lamellar cataract with a pulverulent (punctate, dust-like opacities) appearance.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010693,Pulverulent cataract,A kind of congenital cataract that is characterized by a hollow sphere of punctate opacities involving the fetal nucleus and that usually occurs bilaterally.,Pulverulent cataract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010669,Hypoplasia of the zygomatic bone,"Underdevelopment of the zygomatic bone. That is, a reduction in size of the zygomatic bone, including the zygomatic process of the temporal bone of the skull, which forms part of the zygomatic arch.",Cheekbone underdevelopment;Decreased size of cheekbone;Decreased size of zygomatic bone;Depressed cheekbone;Depressed zygomatic bone;Flattening of the zygomatic bone;Hypoplasia of cheekbone;Hypotrophic cheekbone;Hypotrophic zygomatic bone;Hypotrophy of the cheekbone;Hypotrophy of the zygomatic bone;Small cheekbone;Small malar bone;Small zygomatic bone;Underdevelopment of cheekbone;Underdevelopment of zygomatic bone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010668,Abnormal zygomatic bone morphology,An abnormality of the zygomatic bone.,Abnormal malar bone morphology;Abnormality of the cheekbone;Abnormality of the zygomatic bone;Anomaly of the zygomatic bone;Deformity of the cheekbone;Deformity of the zygomatic bone;Malformation of the zygomatic bone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010667,Aplasia of the maxilla,A congenital defect characterized by absence of the Maxilla.,Absence of the maxilla;Absence of upper jaw bones;Agenesis of the maxilla;Aplasia of the upper jaw bones;Failure of development of maxilla;Failure of development of upper jaw bones;Missing upper jaw bones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010666,Hypoplasia of the anterior nasal spine,Underdevelopment of the anterior nasal spine of maxilla.,Decreased length of anterior nasal spine;Decreased projection of anterior nasal spine;Decreased size of anterior nasal spine;Deficiency of anterior nasal spine;Hypotrophic anterior nasal spine;Small anterior nasal spine;Underdevelopment of anterior nasal spine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010650,Hypoplasia of the premaxilla,An abnormality of the premaxilla (the embryonic structure that forms the anterior part of the maxilla) causing it to appear relatively small in size compared to the other parts of the maxilla or other facial structures.,Decreased size of premaxilla;Decreased size of the primary palate bone;Hypoplasia of the intermaxillary bone;Hypoplasia of the primary palate bone;Premaxillary bone deficiency;Premaxillary bone retrusion;Premaxillary retrusion;Premaxillary underdevelopment;Primary palate bone deficiency;Primary palate bone retrusion;Small premaxilla;Small primary palate bone;Underdevelopment of premaxilla;Underdevelopment of the premaxilla;Underdevelopment of the primary palate bone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010649,Flat nasal alae,"An abnormal degree of flatness of the Ala of nose, which can be defined as a reduced nasal elevation index (lateral depth of the nose from the tip of the nose to the insertion of the nasal ala in the cheek x 100 divided by the side-to-side breadth of the nasal alae).",Depressed nasal alae;Flat nasal alar cartilage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010644,Midnasal stenosis,"Abnormal narrowing (stenosis) of the midnasal cavity, i.e., of the middle nasal meatus, which in neonates can cause respiratory distress.","""Midnasal atresia or stenosis""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP:0010643,Midnasal atresia,Absence or abnormal closure of the midnasal cavity.,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
